id,name,name_14,short_name,team_url,logo_path,foreign_id,uniform,created_at,updated_at
1,16 Batalion,16 Batalion,BAT,https://nalffutsal.pl/?sp_team=16-batalion-powietrznodesantowy,/static/images/logos/16Batalion.png,16-batalion-powietrznodesantowy,"{""home"": [""#ff0000""], ""away"": [""#ffffff""]}",2026-02-24 21:38:10.057502,2026-02-24 22:07:45.328057
2,Boanerges,Boanerges,BOA,https://nalffutsal.pl/?sp_team=650-2,static/images/logos/Boanerges.png,650-2,,2026-02-24 21:40:34.250022,2026-02-24 21:40:34.250027
3,Żarłacze,Żarłacze,ŻAR,https://nalffutsal.pl/?sp_team=zarlacze,static/images/logos/Zarlacze.png,zarlacze,,2026-02-24 21:40:48.332591,2026-02-24 21:40:48.332599
4,Brotherm,Brotherm,BRO,https://nalffutsal.pl/?sp_team=brotherm-3,static/images/logos/Brotherm.png,brotherm-3,,2026-02-24 21:41:00.273271,2026-02-24 21:41:00.273281
5,MK Team,MK Team,MKT,https://nalffutsal.pl/?sp_team=mk-team,static/images/logos/MKTeam.png,mk-team,"{""home"": [], ""away"": []}",2026-02-24 21:41:22.283246,2026-02-24 21:47:30.232629
6,Galactik Futsal,Galactik Futsal,GAL,https://nalffutsal.pl/?sp_team=galactik-futsal,static/images/logos/Galactic.png,galactik-futsal,,2026-02-24 21:41:35.074424,2026-02-24 21:41:35.074448
7,NO NAME NO GAME!,NO NAME NO GAME!,NON,https://nalffutsal.pl/?sp_team=16-batalion-powietrznodesantowy-3,static/images/logos/NNNG.png,16-batalion-powietrznodesantowy-3,,2026-02-24 21:41:55.853746,2026-02-24 21:41:55.853773
8,Ukrainian Legion,Ukrainian Legion,UKR,https://nalffutsal.pl/?sp_team=ukraine,static/images/logos/ukrainian_legion_1.png,ukraine,,2026-02-24 21:42:12.478054,2026-02-24 21:42:12.478059
9,Drink Team,Drink Team,DRI,https://nalffutsal.pl/?sp_team=drink-team,static/images/logos/DrinkTeam.png,drink-team,,2026-02-24 21:42:27.348434,2026-02-24 21:42:27.348438
10,K2,K2,.K2,https://nalffutsal.pl/?sp_team=k2-2,static/images/logos/K2.png,k2-2,,2026-02-24 21:43:35.154237,2026-02-24 21:43:35.154242
11,Laga Bonito,Laga Bonito,LAG,https://nalffutsal.pl/?sp_team=jru-futsal,static/images/logos/LagaBonito.png,jru-futsal,,2026-02-24 21:44:02.591596,2026-02-24 21:44:02.591607
12,eNHa II,eNHa II,NH2,https://nalffutsal.pl/?sp_team=enha-ii,static/images/logos/eNHaII.png,enha-ii,,2026-02-24 21:44:27.985007,2026-02-24 21:44:27.985018
13,DRUGony,DRUGony,DRU,https://nalffutsal.pl/?sp_team=drug-ony,static/images/logos/DRUGony.png,drug-ony,,2026-02-24 21:44:40.560539,2026-02-24 21:44:40.560543
14,Hattrick,Hattrick,HAT,https://nalffutsal.pl/?sp_team=hattrick,static/images/logos/DRUGony.png,hattrick,,2026-02-24 21:44:53.489711,2026-02-24 21:44:53.489716
15,Nowy Ład,Nowy Ład,NŁD,https://nalffutsal.pl/?sp_team=nowy-lad-2,static/images/logos/NowyLad.png,nowy-lad-2,,2026-02-24 21:45:13.375470,2026-02-24 21:45:13.375474
16,Oddział Prewencji Policji,OP Policji,OPP,https://nalffutsal.pl/?sp_team=oddzial-prewencji-policji,static/images/logos/opp.png,oddzial-prewencji-policji,,2026-02-24 21:45:52.625308,2026-02-24 21:45:52.625319
17,eNHa,eNHa,ENH,https://nalffutsal.pl/?sp_team=enha,static/images/logos/eNHa.png,enha,,2026-02-24 21:46:06.288411,2026-02-24 21:46:06.288415
18,Nowohucki Klub Sportowy,Nowohucki KS,NKS,https://nalffutsal.pl/?sp_team=nowohucki-klub-sportowy,static/images/logos/NKS.png,nowohucki-klub-sportowy,,2026-02-24 21:46:29.587013,2026-02-24 21:46:29.587018
19,Sławny Klub Piłkarski,Sławny KP,SKP,https://nalffutsal.pl/?sp_team=slawny-klub-pilkarski,static/images/logos/skp.png,slawny-klub-pilkarski,,2026-02-24 21:47:02.294586,2026-02-24 21:47:02.294605
